Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2022-07-16,19:00,Flamengo,1.6,2–0,0.8,Coritiba,33778,Estadio Jornalista Mário Filho,Flavio Rodrigues De Souza,Match Report,
17,Sun,2022-07-17,11:00,Juventude,2.7,0–0,0.7,Goiás,4406,Estádio Alfredo Jaconi,Vinicius Gonçalves Dias Araujo,Match Report,
17,Sun,2022-07-17,16:00,São Paulo,0.8,2–2,1.2,Fluminense,47141,Estádio do Morumbi,Wilton Sampaio,Match Report,
17,Sun,2022-07-17,18:00,Atl Goianiense,0.8,0–1,0.6,Fortaleza,7282,Estádio Antônio Accioly,Jean Pierre Goncalves Lima,Match Report,
17,Sun,2022-07-17,18:00,Botafogo (RJ),0.9,0–1,1.6,Atlético Mineiro,8678,Estádio Nilton Santos,Raphael Claus,Match Report,
17,Sun,2022-07-17,19:00,América (MG),1.0,0–3,2.4,Bragantino,1920,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhães,Match Report,
17,Sat,2022-07-16,21:00,Ceará,2.2,3–1,1.3,Corinthians,28683,Estádio Castelão,Leandro Pedro Vuaden,Match Report,
17,Mon,2022-07-18,20:00,Palmeiras,1.5,1–0,0.2,Cuiabá,39033,Allianz Parque,Anderson Daronco,Match Report,
,,,,,,,,,,,,,
18,Wed,2022-07-20,19:00,Bragantino,2.0,2–1,0.7,Fortaleza,4048,Estádio Nabi Abi Chedid,Diego Pombo Lopez,Match Report,
18,Wed,2022-07-20,19:00,Goiás,1.0,2–3,1.1,Fluminense,11974,Estádio de Hailé Pinheiro,Paulo Roberto Alves Júnior,Match Report,
18,Wed,2022-07-20,19:30,Atl Paranaense,1.9,4–1,1.0,Atl Goianiense,22426,Estádio Joaquim Américo Guimarães,Bruno Arleu de Araujo,Match Report,
