Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20,20,1800,20.0,1,3,4,1,0,0,1,0,0.8,0.8,1.2,2.0,4,39,16,0.05,0.15,0.20,0.05,0.20,0.04,0.06,0.10,0.04,0.10,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,5,1,113,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.5,5,5,4,0.00,0.00,0.00,0.00,0.00,0.26,0.10,0.36,0.26,0.36,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13,13,1170,13.0,2,1,3,2,0,0,4,0,0.7,0.7,0.4,1.1,8,55,0,0.15,0.08,0.23,0.15,0.23,0.06,0.03,0.08,0.06,0.08,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,16,9,806,9.0,2,0,2,1,1,2,3,0,3.6,2.1,0.4,2.4,15,22,43,0.22,0.00,0.22,0.11,0.11,0.41,0.04,0.45,0.23,0.27,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,21,13,1124,12.5,4,1,5,2,2,2,2,0,3.7,2.2,1.2,3.3,26,41,47,0.32,0.08,0.40,0.16,0.24,0.30,0.10,0.39,0.17,0.27,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,4,3,290,3.2,0,2,2,0,0,0,0,0,0.2,0.2,0.5,0.7,2,6,13,0.00,0.62,0.62,0.00,0.62,0.06,0.16,0.22,0.06,0.22,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,31,31,2673,29.7,2,3,5,2,0,0,3,0,1.5,1.5,2.5,4.0,45,142,138,0.07,0.10,0.17,0.07,0.17,0.05,0.08,0.14,0.05,0.14,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,9,3,284,3.2,1,0,1,1,0,0,0,0,1.5,1.5,0.0,1.5,2,4,26,0.32,0.00,0.32,0.32,0.32,0.48,0.00,0.48,0.48,0.48,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,30,18,1719,19.1,0,0,0,0,0,0,6,0,0.6,0.6,2.6,3.2,34,88,108,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.17,0.03,0.17,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,26,18,1618,18.0,1,2,3,1,0,0,1,0,1.1,1.1,3.0,4.1,46,67,99,0.06,0.11,0.17,0.06,0.17,0.06,0.17,0.23,0.06,0.23,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,3,1,87,1.0,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,7,4,316,3.5,2,0,2,2,0,0,1,0,1.4,1.4,0.2,1.6,0,5,23,0.57,0.00,0.57,0.57,0.57,0.41,0.06,0.47,0.41,0.47,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,26,26,2211,24.6,1,0,1,1,0,0,1,0,0.5,0.5,0.2,0.7,2,55,5,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,14,4,561,6.2,2,1,3,2,0,0,0,1,1.4,1.4,0.6,2.0,16,20,60,0.32,0.16,0.48,0.32,0.48,0.22,0.09,0.31,0.22,0.31,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,8,7,585,6.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,37,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,13,2,265,2.9,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,0,15,19,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.27,0.12,0.27,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,10,7,659,7.3,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,15,34,33,0.00,0.14,0.14,0.00,0.14,0.01,0.05,0.06,0.01,0.06,Matches,a564fe91
